Episodio,Turno,Dados,Puntaje de Tirada,Puntaje Total,Acción
321,0,"[6, 3, 1, 1, 6, 2]",0,0,Plantarse
322,0,"[3, 2, 5, 6, 2, 4]",0,0,Plantarse
323,0,"[4, 5, 4, 5, 1, 3]",0,0,Plantarse
324,0,"[2, 2, 1, 4, 1, 2]",0,0,Plantarse
325,0,"[2, 1, 1, 3, 4, 4]",0,0,Plantarse
326,0,"[2, 1, 2, 6, 5, 2]",0,0,Plantarse
327,0,"[3, 4, 1, 4, 4, 6]",0,0,Plantarse
328,0,"[1, 6, 4, 2, 3, 3]",0,0,Plantarse
329,0,"[3, 5, 1, 6, 4, 6]",0,0,Plantarse
330,0,"[1, 2, 3, 2, 3, 5]",0,0,Plantarse
331,0,"[1, 1, 2, 3, 4, 2]",0,0,Plantarse
332,0,"[3, 3, 1, 5, 2, 1]",0,0,Plantarse
333,0,"[5, 5, 3, 1, 2, 1]",0,0,Plantarse
334,0,"[1, 4, 3, 4, 3, 6]",0,0,Plantarse
335,0,"[2, 1, 6, 2, 4, 1]",0,0,Plantarse
336,0,"[3, 3, 5, 4, 6, 6]",0,0,Plantarse
337,0,"[3, 5, 4, 1, 6, 1]",0,0,Plantarse
338,0,"[1, 6, 1, 3, 3, 5]",0,0,Plantarse
339,0,"[3, 4, 4, 4, 6, 4]",0,0,Plantarse
340,0,"[3, 4, 5, 5, 4, 6]",0,0,Plantarse
341,0,"[5, 6, 3, 5, 3, 2]",0,0,Plantarse
342,0,"[3, 3, 3, 4, 3, 1]",0,0,Plantarse
343,0,"[2, 1, 2, 2, 2, 1]",0,0,Plantarse
344,0,"[5, 4, 1, 2, 2, 2]",0,0,Plantarse
345,0,"[3, 6, 1, 3, 4, 1]",0,0,Plantarse
346,0,"[4, 3, 1, 1, 2, 1]",0,0,Plantarse
347,0,"[2, 6, 4, 1, 3, 2]",0,0,Plantarse
348,0,"[4, 1, 1, 6, 5, 6]",0,0,Plantarse
349,0,"[4, 5, 5, 5, 5, 5]",0,0,Plantarse
350,0,"[2, 6, 5, 5, 2, 3]",0,0,Plantarse
351,0,"[2, 4, 4, 1, 4, 4]",0,0,Plantarse
352,0,"[6, 6, 1, 6, 3, 4]",0,0,Plantarse
353,0,"[2, 1, 4, 6, 4, 6]",0,0,Plantarse
354,0,"[2, 5, 4, 5, 2, 3]",0,0,Plantarse
355,0,"[1, 1, 5, 6, 5, 4]",0,0,Plantarse
356,0,"[6, 4, 5, 6]",0,0,Plantarse
357,0,"[1, 2, 1]",0,0,Plantarse
358,0,"[2, 2, 3, 1, 5, 6]",0,0,Plantarse
359,0,"[3, 3, 1, 4]",0,0,Plantarse
360,0,"[5, 5, 3, 4, 5, 5]",0,0,Plantarse
361,0,"[6, 5, 2, 6, 1, 6]",0,0,Plantarse
362,0,"[3, 3, 3, 5, 3, 6]",0,0,Plantarse
363,0,"[6, 1, 6, 2, 1, 4]",0,0,Plantarse
364,0,"[3, 3, 3, 4, 4, 1]",0,0,Plantarse
365,0,"[6, 6, 5, 2, 3, 4]",0,0,Plantarse
366,0,"[5, 3, 2, 6, 1, 5]",0,0,Plantarse
367,0,"[6, 1, 5, 2, 5, 3]",0,0,Plantarse
368,0,"[1, 1, 6, 6, 6, 2]",0,0,Plantarse
369,0,"[4, 3, 5, 4, 6, 6]",0,0,Plantarse
370,0,"[6, 5, 6, 1, 2, 4]",0,0,Plantarse
371,0,"[5, 2, 2, 3, 5, 1]",0,0,Plantarse
372,0,"[3, 1, 6, 5, 4, 2]",0,0,Plantarse
373,0,"[1, 4, 6, 1, 2, 4]",0,0,Plantarse
374,0,"[2, 4, 1, 2, 4, 5]",0,0,Plantarse
375,0,"[4, 2, 5, 6, 1, 4]",0,0,Plantarse
376,0,"[2, 1, 4, 1, 3, 6]",0,0,Plantarse
377,0,"[2, 5, 6, 5, 5, 3]",0,0,Plantarse
378,0,"[2, 4, 5, 5, 4, 6]",0,0,Plantarse
379,0,"[3, 2, 5, 4, 6, 3]",0,0,Plantarse
380,0,"[2, 3, 2, 3, 3, 3]",0,0,Plantarse
381,0,"[1, 6, 5, 4, 5, 1]",0,0,Plantarse
382,0,"[5, 1, 4, 3, 5, 5]",0,0,Plantarse
383,0,"[1, 2, 3, 5, 1, 5]",0,0,Plantarse
384,0,"[6, 2, 3, 1, 5, 4]",0,0,Plantarse
385,0,"[1, 1, 6, 2, 1, 5]",0,0,Plantarse
386,0,"[4, 3, 6, 3, 1, 2]",0,0,Plantarse
387,0,"[5, 5, 1, 6, 1, 3]",0,0,Plantarse
388,0,"[6, 2, 5, 3, 2, 5]",0,0,Plantarse
389,0,"[2, 4, 6, 3, 6, 4]",0,0,Plantarse
390,0,"[2, 1, 5, 1, 5, 2]",0,0,Plantarse
391,0,"[5, 3, 5, 4, 5, 4]",0,0,Plantarse
392,0,"[5, 1, 4, 2, 2, 5]",0,0,Plantarse
393,0,"[2, 1, 6, 2, 4, 6]",0,0,Plantarse
394,0,"[4, 3, 4, 4, 2, 4]",0,0,Plantarse
395,0,"[5, 3, 4, 5, 2, 4]",0,0,Plantarse
396,0,"[1, 4, 2, 4, 6, 1]",0,0,Plantarse
397,0,"[5, 3, 2, 1, 6, 4]",0,0,Plantarse
398,0,[],0,0,Tirar
399,0,"[6, 3, 4, 5, 4, 2]",0,0,Plantarse
400,0,"[3, 5, 3, 4, 2, 1]",0,0,Plantarse
401,0,"[1, 5, 5, 3, 6, 6]",0,0,Plantarse
402,0,"[4, 2, 1, 4, 4, 5]",0,0,Plantarse
403,0,"[3, 5, 4, 6, 4, 6]",0,0,Plantarse
404,0,"[1, 3, 5, 6, 6, 2]",0,0,Plantarse
405,0,"[4, 2, 6, 1, 4, 3]",0,0,Plantarse
406,0,"[6, 2, 4, 3, 4, 6]",0,0,Plantarse
407,0,[4],0,0,Plantarse
408,0,"[2, 1, 4, 3, 3, 5]",0,0,Plantarse
409,0,"[3, 4, 6, 6, 5, 3]",0,0,Plantarse
410,0,"[3, 3, 2, 4, 6, 2]",0,0,Plantarse
